 Albania ,8219
 Albania  ,8219
 Angola  ,4838
 Armenia  ,4069
 Aruba  ,17364
 Azerbaijan  ,3794
 Bahamas  ,186531
 Barbados  ,52483
 Belize  ,21932
 Bermuda  ,19839
 Bolivia  ,55565
 Botswana  ,31221
 Cameroon  ,57928
 Cayman Islands  ,25075
 Costa Rica  ,150016
 Curacao  ,52123
 Cyprus  ,255762
 El Salvador  ,6562
 Ethiopia  ,11228
 Georgia  ,10148
 Ghana  ,30349
 Gibraltar  ,6007
 Greenland  ,9349
 Honduras  ,7158
 Iceland  ,128750
 Afghanistan  ,20863
 Africa  ,7458699
 Algeria  ,190028
 Argentina  ,2129666
 Australia  ,10482594
 Austria  ,688445
 Bahrain  ,119013
 Bangladesh  ,119013
 Belarus  ,176240
 Belgium  ,2300346
 Bosnia ,42299
 Bosnia and Herzegovina  ,220979
 Brazil  ,24625324
 Canada  ,3839693
 Chile  ,1969252
 China  ,83239138
 Colombia  ,3694256
 Croatia  ,348201
 Czech  ,2665419
 Denmark  ,961015
 Dominican Republic  ,416953
 Ecuador  ,2647181
 Estonia  ,357777
 European ,82890275
 Finland  ,1329809
 France  ,12976088
 Germany  ,5950582
 Greece  ,1243984
 Guatemala  ,168289
 Hungary  ,1281097
 India  ,28092993
 Indonesia  ,1101402
 Ireland  ,368112
 Italy , 7.8 million
 Japan  ,6300145
 Kazakhstan  ,2231135
 Latvia  ,169397
 Lithuania  ,220827
 Luxembourg  ,151914
 Malaysia  ,845677
 Malta  ,75278
 Moldova  ,144384
 Morocco  ,766107
 New Zealand  ,949226
 Norway  ,1918233
 Peru  ,2832940
 Philippines  ,633355
 Poland  ,5919175
 Portugal  ,803315
 Romania  ,1900838
 Russia  ,3246529
 Saudi Arabia  ,585456
 Serbia  ,584747
 Singapore  ,620431
 Slovakia  ,990451
 Slovenia  ,247671
 South Africa  ,4335664
 South Korea ,3828178
 Spain  ,6812916
 Sweden  ,1865264
 Switzerland  ,887583
 Taiwan  ,1662437
 Thailand  ,923135
 Tunisia  ,240222
 UAE  ,712752
 UK  ,8060818
 Ukraine  ,1484397
 Vietnam  ,1718145
 Iran  ,26624
 Iraq  ,10950
 Israel  ,1023639
 Ivory Coast  ,30062
 Jamaica  ,243196
 Jordan  ,49486
 Kenya  ,288469
 Kuwait  ,90607
 Kyrgyzstan  ,149215
 Lebanon  ,125289
 Liechtenstein  ,19678
 Macao  ,13940
 Macedonia ,12368
 Malawi  ,7709
 Mauritius  ,110379
 Mexico  ,1727023
 Monaco  ,10973
 Montenegro  ,74879
 Mozambique  ,6024
 Namibia  ,29041
 Nepal  ,9688
 Nicaragua  ,3906
 Niger  ,2045
 Nigeria  ,628673
 Oman  ,233884
 Pakistan  ,149029
 Panama  ,274207
 Paraguay  ,5103
 Qatar  ,37088
 Sri Lanka  ,17650
 Syria  ,32494
 Tanzania  ,116541
 Trinidad And Tobago  ,5750
 Turkey ,1478976
 uganda,0
 United States of America  ,"69,000,000"
 Uruguay,0
 Uzbekistan,0
 Venezuela,0
 Yemen,0
 Zambia  ,5492
 Zimbabwe,0